 Item type,Produce method,Metal,Finishing,Setting,Department,Stone Type,Enamel Workflow,Season,Event,Gen,Design Style,Price Range,stone type,,Plating,Micron Layer 1,,,,
,,,,,,,,Spring,Mother's Day,Silent 80 ?,Minimalist,Entry,,,,,,,,
Pendant,Casting,Silver 925,Polish,PRONG (WS),Sale,Precious,Standard Cold Enamel,Summer,Valentine,Baby Boomers 60-80,Art Deco,Mid,,,SV,Flash,,,,
Earring,Stamping,Brass,High Polish,BEZEL (WS),Marketing,Semi-Precious,Advanced Cold enamel,Autumn,Charistmas,Gen X 45-60,Vintage,Luxury,,,Rh,0.25 mic,,,,
Necklace,Handmade,Bronze,Sandblast,PRONG (HS),DV,Natural,,Winter,Halloween,Millennials 30-45,Retro,,,,Sv + Rh,0.5 mic,,,,
Bracelet,Casting+Stamping,Recycle Silver 925,Satin,BEZEL (HS),CEO,CZ,,,New Year,Gen Z 15-30,Bohemian,,,,Cu + Rh,1 mic,,,,
Bangle,Tube,Silver+Brass,Oxidation+Polish,ASSEMBLY,Production,Nano,,,,Gen Alpha 15 ?,Geometric,,,,Sv+Pd+Rh,1.5 mic,,DV time,,Gender
Ring,Tube+Casting,Silver+Bronze,Hammer,GLUE STONE,Purchase,Synthetic,,,,,Nature-Inspired,,,,Cu+Pd+Rh,2 mic,,,,
Brooch,,Silver+Gold,Shiny Hammer,AdMOP,,Imitation,,,,,Modern,,,,Sv + YG 14K,2.5 mic,,2 Weeks (URG),,Male
Cuffink,,Brass+Bronze,Sand Stone,,,Crystal,,,,,Classic / Timeless,,,,Cu + YG 14K,3 mic,,4 Weeks (Normal),,Female
Earcuff,,YG 9K,Tumbling,,,,,,,,Ethnic / Cultural,,,,Sv+Pd+YG 14K,5 mic,,8 Weeks (Not URG),,Unisex
Finding,,YG 10K,Satin Sandpaper Lap #400,,,,,,,,Avant-Garde,,,,Cu+Pd+YG 14K,,,,,
Goggles frame,,YG 14K,Satin Sandpaper Lap #240,,,,,,,,Romantic,,,,Sv + YG 18K,,,,,
Charm,,YG 18K,Satin (Brush Yellow),,,,,,,,Industrial,,,,Cu + YG 18K,,,,,
,,PG 9K,,,,,,,,,Organic,,,,Sv+Pd+YG 18K,,,,,
,,PG 10K,,,,,,,,,Statement / Bold,,,,Cu+Pd+YG 18K,,,,,
,,PG 14K,,,,,,,,,Luxury / High-End,,,,Sv + PG,,,,,
,,PG 18K,,,,,,,,,Whimsical / Playful,,,,Cu + PG,,,,,
,,PT 850,,,,,,,,,Gothic / Dark,,,,Sv+Pd+PG,,,,,
,,PT 900,,,,,,,,,Futuristic,,,,Cu+Pd+PG,,,,,
,,PT 950,,,,,,,,,Edgy / Punk,,,,Sv + Black Rh,,,,,
,,Stainless Steel,,,,,,,,,,,,,Cu + Black Rh,,,,,
